Index,Code,Diagram
11,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u8 variable = 1; __u8 variable2 = variable + 5; __u16 trying12 = 1; this += -1;  if(variable > value) { return XDP_PASS; } else if(this && variable2) { this *= 12; }  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 <br> variable -> 1 <br> variable2 -> 1 + 1 <br> trying12 -> 2 <br> return -> 4 + 4 <br> Total: 26 ]
12,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u64 variable = 1; __u8 variable2 = variable + 5; __u16 trying12 = 1; this += -1;  if(variable > value) { return XDP_PASS; } else if(this && variable2) { this *= 12; }  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 + 3 <br> variable -> 8 <br> variable2 -> 1 + 1 <br> trying12 -> 2 <br> return -> 4 + 4 <br> Total: 36 ]
13,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u8 a; __u8 b; __u8 c; __u16 d; __u64 e; };  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u64 variable = 1; __u8 variable2 = variable + 5; __u16 trying12 = 1; this += -1;  if(variable > value) { return XDP_PASS; } else if(this && variable2) { this *= 12; struct testing struct_instance; struct_instance.a = value; struct_instance.c = struct_instance.a * 2; }  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 + 3 <br> variable -> 8 <br> variable2 -> 1 + 1 <br> trying12 -> 2 <br> str_inst_2 -> 20 <br> return -> 4 + 4 <br> Total: 56 ]
14,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u8 a; __u8 b; __u8 c; __u16 d; __u64 e; };  struct str_testando { __u8 hello; __u64 trying_out; };  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u64 variable = 1; __u8 variable2 = variable + 5; __u16 trying12 = 1; this += -1;  if(variable > value) { struct str_testando str_inst_2; str_inst_2.hello = this; str_inst_2.trying_out = variable2 * 1000; return XDP_PASS; } else if(this && variable2) { this *= 12; struct testing struct_instance; struct_instance.a = value; }  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 + 3 <br> variable -> 8 <br> variable2 -> 1 + 1 <br> trying12 -> 2 <br> str_inst_2 -> 20 <br> struct_instance -> 16 <br> return -> 4 + 4 <br> Total: 72 ]
15,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u8 you_are_cool = 1 + 5; __u16 trying12 = 1; this += -1;  if(you_are_cool > value) { struct str_testando str_inst_2; str_inst_2.hello = this; str_inst_2.trying_out = trying12 * 1000; return XDP_PASS; } else if((this && 1) || trying12) { this *= 12; struct testing struct_instance; struct_instance.amem = value; struct_instance.example = struct_instance.amem * this; }  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 <br> you_are_cool -> 1 <br> trying12 -> 2 <br> str_inst_2 -> 16 <br> struct_instance -> 16 <br> return -> 4 + 4 <br> Total: 56 ]
16,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u8 you_are_cool = 1 + 5; __u16 trying12 = 1; this += -1;  __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end < data_start) return XDP_DROP; struct xdp_md *copy = ctx;  __u32 rx_index = copy->rx_queue_index;  if(you_are_cool > value) { struct str_testando str_inst_2; str_inst_2.hello = this; str_inst_2.trying_out = trying12 * 1000; return XDP_PASS; } else if(this && (1 || trying12)) { this *= 12; struct testing struct_instance; struct_instance.amem = value; struct_instance.example = struct_instance.amem * this; }  if(rx_index != 0) this = 0;  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 <br> you_are_cool -> 1 <br> trying12 -> 2 <br> data_start -> 4 <br> data_end -> 4 <br> copy -> 8 <br> rx_index -> 4 <br> str_inst_2 -> 20 <br> struct_instance -> 16 <br> return -> 4 + 4 <br> Total: 80 ]
17,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  void helper() { struct str_testando str_inst_2; str_inst_2.hello = 12; str_inst_2.trying_out = 10 * 1000; str_inst_2.hello = str_inst_2.trying_out - str_inst_2.trying_out + 1; return; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u8 you_are_cool = 1 + 5; __u16 trying12 = 1; this += -1;  __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end < data_start) return XDP_DROP; struct xdp_md *copy = ctx;  __u32 rx_index = copy->rx_queue_index;  if(you_are_cool > value) { helper(); return XDP_PASS; }  if(rx_index != 0) this = 0;  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 <br> you_are_cool -> 1 <br> trying12 -> 2 <br> data_start -> 4 <br> data_end -> 4 <br> copy -> 8 <br> rx_index -> 4 <br> return -> 4 + 4 <br> Total: 44 ] --> B  B[ <b> helper </b> <br> str_inst_2 -> 16 <br> Total: 16]
18,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  __u16 helper() { __u8 g = 12; __u16 uga = g * 2; return uga; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u8 you_are_cool = 1 + 5; __u16 trying12 = 1; this += -1;  __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end < data_start) return XDP_DROP; struct xdp_md *copy = ctx;  __u32 rx_index = copy->rx_queue_index;  if(you_are_cool > value) { __u16 helper_return = helper(); return XDP_PASS; }  if(rx_index != 0) this = 0;  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 <br> you_are_cool -> 1 <br> trying12 -> 2 <br> data_start -> 4 <br> data_end -> 4 <br> copy -> 8 <br> rx_index -> 4 <br> helper_return -> 2 <br> return -> 4 + 4 <br> Total: 46 ] --> B  B[ <b> helper </b> <br> g -> 1 + 1 <br> uga -> 2 <br> Total: 4]
19,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  void testing_func(__u32 *value) { if(*value > 123) { *value = 10; } return; }  __u16 helper() { __u8 g = 12; __u16 uga = g * 2; __u32 value; value = 500; testing_func(&value); if(value > uga) { return uga; } return value; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u8 you_are_cool = 1 + 5; this = this + -1;  __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end < data_start) return XDP_DROP; struct xdp_md *copy = ctx;  __u32 rx_index = copy->rx_queue_index;  if(you_are_cool > value) { __u16 helper_return = helper(); helper_return = helper_return + 1;; return XDP_PASS; }  if(rx_index != 0) this = 0;  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 <br> you_are_cool -> 1 + 2 <br> data_start -> 4 <br> data_end -> 4 <br> copy -> 8 <br> rx_index -> 4 <br> helper_return -> 2 <br> return -> 4 + 4 <br> Total: 46 ] --> B  B[ <b> helper </b> <br> g -> 1 + 1 <br> uga -> 2 + 2 <br> value -> 4 <br> return -> 2 <br> Total: 4] --> C  C[ <b> testing_fun </b> <br> value -> 8 <br> Total: 8]
20,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  __u8 helper() { __u8 var = 123; if(var != 100) { __u32 value2 = 3; value2 *= 2; var = value2 - value2 + 1; } return var; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; __u64 val2 = value + 1; this += -1; if(this > value) { value = 5 + this; __u32 testing = 123; testing *= 123; if(this > 1000) { testing = 1; } helper(); } __u8 a = 20; a += this; a += val2;  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 + 3 <br> val2 -> 8 <br> testing -> 4 <br> a -> 1 <br> Total: 29 ] --> B  B[ <b> helper </b> <br> var -> 1 + 3 <br> value2 -> 4 <br> Total: 8]
21,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  __u32 function5(__u32 value) { value = value + 1; return value; }  __u32 function4(__u32 value) { value = value + 1; function5(value); return value; }  __u32 function3(__u32 value) { value = value + 1; function4(value); return value; }  __u32 function2(__u32 value) { value = value + 1; function3(value); return value; }  __u32 function1(__u32 value) { value = value + 1; function2(value); return value; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 value = 1; function1(value);  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> value -> 4 <br> Total: 12 ] --> B  B[ <b> function1 </b> <br> value -> 4 <br> Total: 4] --> C  C[ <b> function2 </b> <br> value -> 4 <br> Total: 4] --> D  D[ <b> function3 </b> <br> value -> 4 <br> Total: 4] --> E  E[ <b> function4 </b> <br> value -> 4 <br> Total: 4] --> F  F[ <b> function5 </b> <br> value -> 4 <br> Total: 4]
22,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  __u32 function3(__u32 value) { value = value + 1; return value; }  __u32 function4(__u16 trying) { if(trying < 10) { return trying; } return 0; }  __u32 function2(__u32 value) { value = value + 1; __u16 roedor = 5; value = roedor + 1; function3(value); function4(roedor); return value; }  __u32 function1(__u32 value) { __u8 xandao = 2; value = value + 1; function2(value); return xandao; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 value = 1; function1(value);  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> value -> 4 <br> Total: 12 ] --> B  B[ <b> function1 </b> <br> value -> 4 <br> xandao -> 1 <br> Total: 5] --> C  C[ <b> function2 </b> <br> value -> 4 <br> roedor -> 2 <br> Total: 6] --> D C --> E  D[ <b> function3 </b> <br> value -> 4 <br> Total: 4]  E[ <b> function4 </b> <br> trying -> 2 <br> return -> 4 <br> Total: 6]
23,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  __u32 function3(__u32 value) { value = value + 1; return value; }  __u32 function2(__u32 value) { value = value + 1; __u16 roedor = 5; value = roedor + 1; function3(value); return value; }  __u32 function1(__u32 value) { value = value + 1; function2(value); return value; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 value = 1; function1(value);  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> value -> 4 <br> Total: 12 ] --> B  B[ <b> function1 </b> <br> value -> 4 <br> Total: 4] --> C  C[ <b> function2 </b> <br> value -> 4 <br> roedor -> 2 <br> Total: 6] --> D  D[ <b> function3 </b> <br> value -> 4 <br> Total: 4]
24,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct testing { __u32 amem; __u64 example; };  struct str_testando { __u8 hello; __u64 trying_out; };  __u32 function1(__u32 value) { __u8 xandao = 2; value = value + 1; return xandao; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 value = 1; function1(value);  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> value -> 4 <br> Total: 12 ] --> B  B[ <b> function1 </b> <br> value -> 4 <br> xandao -> 1 <br> Total: 5]
25,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  __u32 function4(__u16 trying) { if(trying < 10) { return trying; } return 0; }  __u32 helping(__u32 value) { value = value + 1; __u8 afago = 1; __u32 argument; if(afago) argument = afago; else argument = value; function4(argument); return value; }  __u32 function2(__u32 value) { value = value + 1; __u16 roedor = 5; value = roedor + 1; helping(value); function4(roedor); return value; }  __u32 function1(__u32 value) { __u8 xandao = 2; value = value + 1; function2(value); return xandao; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 value = 1; function1(value);  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> value -> 4 <br> Total: 12 ] --> B  B[ <b> function1 </b> <br> value -> 4 <br> xandao -> 1 <br> Total: 5] --> C  C[ <b> function2 </b> <br> value -> 4 <br> roedor -> 2 <br> Total: 6] --> D C --> E  D[ <b> helping </b> <br> value -> 4 <br> afago -> 1 + 3 <br> argument -> 4 <br> Total: 12] --> E  E[ <b> function4 </b> <br> trying -> 2 <br> return -> 4 <br> Total: 6]
26,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  __u32 function4(__u16 trying) { if(trying < 10) { return trying; } return 0; }  __u32 helping(__u32 value) { value = value + 1; __u8 afago = 1; __u16 argument; if(afago) argument = afago; else argument = value; function4(argument); return value; }  __u32 cool(__u32 value) { value = value + 1; helping(value); return value; }  __u32 helping_hand(__u32 value) { __u8 xandao = 2; value = value + 1; cool(value); return xandao; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 value = 1; helping_hand(value);  return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> value -> 4 <br> Total: 12 ] --> B  B[ <b> helping_hand </b> <br> value -> 4 <br> xandao -> 1 <br> Total: 5] --> C  C[ <b> cool </b> <br> value -> 4 <br> Total: 4] --> D  D[ <b> helping </b> <br> value -> 4 <br> afago -> 1 + 3 <br> argument -> 4 <br> Total: 12] --> E  E[ <b> function4 </b> <br> trying -> 2 <br> return -> 4 <br> Total: 6]
27,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  __u32 function4(__u32 trying) { if(trying < 10) { return trying; } return 0; }  __u32 helping(__u32 value) { value = value + 1; __u8 afago = 1; __u16 argument; if(afago) argument = afago; else argument = value; function4(argument); return value; }  __u32 cool(__u32 value) { value = value + 1; helping(value); return value; }  __u32 helping_hand(__u32 value) { __u8 xandao = 2; value = value + 1; cool(value); return xandao; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 value = 1; value = helping_hand(value);  __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end > data_start && value) { function4(value); } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> value -> 4 <br> data_start -> 4 <br> data_end -> 4 <br> Total: 20 ] --> B A --> E  B[ <b> helping_hand </b> <br> value -> 4 <br> xandao -> 1 <br> Total: 5] --> C  C[ <b> cool </b> <br> value -> 4 <br> Total: 4] --> D  D[ <b> helping </b> <br> value -> 4 <br> afago -> 1 + 1 <br> argument -> 2 <br> Total: 8] --> E  E[ <b> function4 </b> <br> trying -> 2 <br> return -> 4 <br> Total: 6]
28,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  __u8 check_helper(__u32 value, __u16 auxiliar) { if(value > auxiliar) return 1; else return 0; }  __u32 helping_hand(__u32 value, __u16 auxiliar) { value = value + auxiliar; __u8 returned = check_helper(value, auxiliar); if(returned) return value - auxiliar; else return value; }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 value = 1; value = helping_hand(value, 25);  __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end > data_start && value) { check_helper(value, value - 1); } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> value -> 4 <br> data_start -> 4 <br> data_end -> 4 <br> Total: 20 ] --> B A --> C  B[ <b> helping_hand </b> <br> value -> 4 <br> auxiliar -> 2 <br> returned -> 1 <br> return -> 4 <br> Total: 11] --> C  C[ <b> check_helper </b> <br> value -> 4 <br> auxiliar -> 2 <br> return -> 1 <br> Total: 7]
29,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct { __uint(type, BPF_MAP_TYPE_ARRAY); __type(key, __u32); __type(value, __u32); __uint(max_entries, 32); } xdp_map SEC("".maps"");  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end > data_start) { __u32 key = 0; __u32* value = bpf_map_lookup_elem(&xdp_map, &key); *value = *value + 1; } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> data_start -> 4 <br> data_end -> 4 <br> key -> 4 + 4 <br> value -> 8 <br> Total: 32 ]
30,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct { __uint(type, BPF_MAP_TYPE_ARRAY); __type(key, __u32); __type(value, __u32); __uint(max_entries, 32); } xdp_map SEC("".maps"");  struct value { __u32 testing; __u32 testing2; };  struct { __uint(type, BPF_MAP_TYPE_ARRAY); __type(key, __u32); __type(value, struct value); __uint(max_entries, 32); } map_value SEC("".maps"");  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end > data_start) { __u32 key = 0; __u32* value = bpf_map_lookup_elem(&xdp_map, &key); *value = *value + 1;  struct value *value2 = bpf_map_lookup_elem(&map_value, &key); value2->testing = *value; value2->testing2 = value2->testing * (*value); } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> data_start -> 4 <br> data_end -> 4 <br> key -> 4 + 4 <br> value -> 8 <br> value2 -> 8 <br> Total: 40 ]
31,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct { __uint(type, BPF_MAP_TYPE_ARRAY); __type(key, __u32); __type(value, __u32); __uint(max_entries, 32); } xdp_map SEC("".maps"");  struct value { __u32 testing; __u32 testing2; };  struct { __uint(type, BPF_MAP_TYPE_ARRAY); __type(key, __u32); __type(value, struct value); __uint(max_entries, 32); } map_value SEC("".maps"");  void updating_map(__u32 key) { __u32* value = bpf_map_lookup_elem(&xdp_map, &key); *value = *value + 1; struct value *value2 = bpf_map_lookup_elem(&map_value, &key); value2->testing = *value; value2->testing2 = value2->testing * (*value); }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end > data_start) { __u32 key = 0; updating_map(key); } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> data_start -> 4 <br> data_end -> 4 <br> key -> 4 <br> Total: 20 ] --> B  B[ <b> updating_map </b> <br> key -> 4 + 4 <br> value -> 8 <br> value2 -> 8 <br> Total: 24]
32,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  struct { __uint(type, BPF_MAP_TYPE_ARRAY); __type(key, __u32); __type(value, __u32); __uint(max_entries, 32); } xdp_map SEC("".maps"");  struct value { __u32 testing; __u32 testing2; };  struct { __uint(type, BPF_MAP_TYPE_ARRAY); __type(key, __u32); __type(value, struct value); __uint(max_entries, 32); } map_value SEC("".maps"");  void updating_map(__u32 *value, struct value *value2) { *value = *value + 1; value2->testing = *value; value2->testing2 = value2->testing * (*value); }  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 data_start = ctx->data; __u32 data_end = ctx->data_end; if(data_end > data_start) { __u32 key = 0; __u32* value = bpf_map_lookup_elem(&xdp_map, &key); struct value *value2 = bpf_map_lookup_elem(&map_value, &key); updating_map(value, value2); } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> data_start -> 4 <br> data_end -> 4 <br> key -> 4 + 4 <br> value -> 8 <br> value2 -> 8 <br> Total: 40 ] --> B  B[ <b> updating_map </b> <br> value -> 8 <br> value2 -> 8 <br> Total: 16]
